x,yz,label
2144,9.38,1
1840,8.37,3
1840,13.18,3
1856,11.89,3
1872,12.63,3
2464,-19.18,2
1856,12.32,3
1936,10.95,3
1952,13.44,3
2592,10.48,1
2448,10.6,1
2512,9.96,1
2336,7.49,0
2336,10.76,1
1840,-12.18,3
2096,6.41,0
2704,30.98,1
2640,32.43,1
2608,31.09,1
1904,-18.99,3
2448,9.72,1
1936,10.32,3
1920,-19.61,3
2336,32.68,1
1968,9.98,3
2160,11.73,1
2560,7.05,0
2048,10.13,1
2208,8,0
2480,8.51,1
2144,26.3,1
1888,8.74,3
2224,13.25,1
2000,7.56,0
1872,6.38,3
2096,2.97,0
2304,6.86,0
1920,9.61,3
2192,11.91,1
2400,9.28,1
1888,8.68,3
2512,-15.35,2
1872,9.92,3
2272,12.52,1
2560,10.52,1
2448,8.5,1
1856,10.31,3
2192,9.83,1
1968,8.49,3
2240,9.36,1
2208,9.91,1
1856,9.48,3
1856,9.84,3
2096,10.24,1
2464,10.27,1
2464,11.17,1
2512,11.06,1
2592,11.93,1
2224,11.07,1
1856,11.06,3
2080,11.07,1
1856,11.53,3
1712,11.47,3
1872,11.89,3
2000,11.9,1
2608,11.89,1
2576,11.44,1
2064,11.02,1
2400,10.52,1
1888,10.47,3
1952,11.34,3
1856,10.45,3
2272,10.84,1
2304,10.41,1
2624,10.39,1
2112,10.79,1
2304,10.77,1
1872,9.48,3
1888,11.55,3
1936,11.08,3
2416,13.01,1
2592,10.48,1
2160,11.94,1
2144,15,1
2448,9.73,1
2320,10.02,1
2400,-24.57,2
1872,13.54,3
2448,7.51,0
1984,7.78,3
2480,6.59,0
1920,16.16,3
1888,8.73,3
1920,6.38,3
2496,43.35,1
1984,10.33,3
1872,-39.28,3
1952,9.36,3
1952,8.47,3
2688,10.65,1
2256,11.21,1
2448,-10.28,2
1968,6.3,3
2176,5.52,0
2448,28.1,1
2480,-19.92,2
2208,-21.36,2
2176,8.33,1
2096,5.46,0
2240,6.17,0
2624,7.99,0
1936,12.09,3
1840,-21.72,3
2640,-8.62,2
2144,8.34,1
2304,8.59,1
2000,5.9,0
2000,6.7,0
2688,4.91,0
2496,-9.1,2
1888,29.54,3
2176,31.64,1
1952,30.83,3
2496,27.06,1
2192,29.49,1
1872,27.53,3
2720,29.85,1
2432,0,0
2208,28.9,1
2336,31.84,1
2672,31.46,1
2224,30.66,1
1920,7.79,3
1920,7.18,3
2320,9.71,1
2112,17.08,1
2592,10.16,1
2192,-17.94,2
2528,10.23,1
2080,10.93,1
2288,13.64,1
2592,9.71,1
1936,13.16,3
1968,12.35,3
1920,11.12,3
2560,-17.77,2
1888,11.39,3
2080,9.18,1
2688,-17.68,2
1840,8.08,3
1888,8.75,3
2208,15.45,1
2016,7.69,0
2272,34.07,1
2608,29.42,1
2336,31.72,1
2304,30.97,1
2304,-12.8,2
2000,-8.96,2
1984,-8.85,3
2128,-38.92,2
1920,-19.2,3
2128,7.97,0
2192,8.8,1
1984,8.04,3
2544,8.09,1
2576,9.9,1
1968,6.12,3
2624,6.51,0
2240,10.39,1
1920,28.94,3
2352,10.69,1
2304,9.18,1
2256,9.09,1
1856,9.09,3
2448,10,1
2304,8.83,1
1984,9.97,3
2000,15.55,1
1936,11.7,3
2096,12.5,1
2144,12.83,1
2064,12.37,1
1808,37,3
2544,9.78,1
2560,10.31,1
2448,16.46,1
1952,36.22,3
2640,-16.53,2
1968,9.56,3
2192,12.97,1
2336,12.87,1
2864,13.2,1
1904,15.41,3
1920,12.42,3
2176,13.25,1
2080,15.5,1
2496,13.8,1
1952,14.12,3
1936,-16.53,3
2496,-16.55,2
2000,-16.53,2
1920,-16.96,3
2656,35.63,1
2176,16.24,1
1904,35.53,3
2000,8.75,1
1920,8.59,3
2144,7.7,0
2656,8.55,1
1888,8.15,3
2352,7.05,0
2512,10.98,1
1936,-16.86,3
2016,18.35,1
2464,9.77,1
2256,8.81,1
2320,12.25,1
1888,11.35,3
2224,7.92,0
2176,8.32,1
1968,8.26,3
2192,7.84,0
2080,8.28,1
1952,8.22,3
2000,7.62,0
2384,8.03,1
2528,8.8,1
1952,7.99,3
2048,8.81,1
2512,8.95,1
1936,7.6,3
2672,8.46,1
2240,7.63,0
1952,8.03,3
1936,10.53,3
2128,8.94,1
2656,8.45,1
2048,8.88,1
2000,9.7,1
2464,8.85,1
2512,14.21,1
2544,8.64,1
1952,9.21,3
2688,8.32,1
2448,7.06,0
2416,8.16,1
2016,8.45,1
2480,10.91,1
2640,10.18,1
2080,7.57,0
1936,9.76,3
2544,8.95,1
2240,8.94,1
2512,-16.19,2
2144,7.52,0
2448,-17.46,2
2496,9.17,1
2240,9.58,1
1984,7.83,3
2528,7.1,0
1968,8.11,3
1968,7.18,3
