x,y,z,label
2048,-0.02,22.47,2
2432,-0.02,13.04,2
2688,25.65,15.33,3
2304,23.75,15.33,3
2144,27.39,18.01,3
1840,29.38,21.01,3
1840,32.82,19.64,3
1856,30.64,18.75,3
1872,30.86,18.23,3
2464,-0.02,19.16,3
1856,30.76,18.44,3
1936,28.75,17.8,3
1952,31.84,18.4,3
2592,28.38,17.9,3
2448,29.4,18.8,3
2512,28.76,18.8,3
2336,27.7,20.21,3
2336,29.71,18.95,3
1840,28.64,40.82,3
2096,28.85,22.44,3
2704,30.96,-0.02,3
2640,32.41,-0.02,3
2608,31.07,-0.02,3
1904,-0.02,18.97,3
2448,26.63,16.91,3
1936,27.66,17.34,3
1920,-0.02,19.59,3
2336,51.32,18.64,3
1968,28.23,18.25,3
2160,29.6,17.87,3
2560,26.24,19.19,3
2048,27.42,17.29,3
2208,24.98,16.98,3
2480,25.19,16.68,3
2144,46.51,20.21,3
1888,27.49,18.75,3
2224,29.76,16.51,3
2000,21.48,13.92,3
1872,19.09,12.71,3
2096,16.03,13.06,3
2304,22.7,15.84,3
1920,23.99,14.38,3
2192,27.7,15.79,3
2400,25.53,16.25,3
1888,24.93,16.25,3
2512,-0.02,15.33,3
1872,28.01,18.09,3
2272,28.21,15.69,3
2560,27.87,17.35,3
2448,26.82,18.32,3
1856,27.8,17.49,3
2192,28.37,18.54,3
1968,29.83,21.34,3
2240,28.47,19.11,3
2208,29.05,19.14,3
1856,29.5,20.02,3
1856,29.02,19.18,3
2096,29.42,19.18,3
2464,29.86,19.59,3
2464,30.29,19.12,3
2512,30.65,19.59,3
2592,30.62,18.69,3
2224,30.64,19.57,3
1856,30.65,19.59,3
2080,30.64,19.57,3
1856,30.64,19.11,3
1712,30.58,19.11,3
1872,31.01,19.12,3
2000,31.01,19.11,3
2608,31.01,19.12,3
2576,30.55,19.11,3
2064,30.14,19.12,3
2400,29.66,19.14,3
1888,29.59,19.12,3
1952,30.45,19.11,3
1856,29.52,19.07,3
2272,29.95,19.11,3
2304,29.52,19.11,3
2624,29.5,19.11,3
2112,29.47,18.68,3
2304,29.45,18.68,3
1872,29,19.52,3
1888,30.67,19.12,3
1936,30.6,19.52,3
2416,32.15,19.14,3
2592,29.21,18.73,3
2160,31.94,20,3
2144,34.11,19.11,3
2448,28.85,19.12,3
2320,29.09,19.07,3
2400,-0.02,24.55,3
1872,29.76,16.22,3
2448,23.66,16.15,3
